t,Symbol(beta),Symbol(betaD),Symbol(theta),Symbol(thetaD),Symbol(theta_m),Symbol(beta_c),
5.25,0.1889235202833302,-0.3273197411607914,-0.28008973056292863,0.35742931472545125,-0.1828906278685579,0.1828906278685579,
5.26,0.18565032287172228,-0.3468267456061331,-0.27651543741567414,0.37620948253687464,-0.17928059178983088,0.17928059178983088,
5.2700000000000005,0.18218205541566096,-0.3660435797683151,-0.27275334259030537,0.3946680545879643,-0.1754808760162084,0.1754808760162084,
5.28,0.1785216196179778,-0.38495025199276667,-0.2688066620444257,0.4127856492847383,-0.17149472866486995,0.17149472866486995,
5.29,0.17467211709805014,-0.40352699075977005,-0.26467880555157836,0.43054313759443913,-0.16732559360709412,0.16732559360709412,
5.3,0.17063684719045244,-0.4217542645300122,-0.26037337417563394,0.447921662918963,-0.16297710791739026,0.16297710791739026,
5.3100000000000005,0.16641930454515233,-0.4396128017323794,-0.2558941575464443,0.4649026610795949,-0.15845309912190872,0.15845309912190872,
5.32,0.16202317652782855,-0.45708361087970517,-0.2512451309356483,0.48146788039345473,-0.15375758224500483,0.15375758224500483,
5.33,0.1574523404190315,-0.4741480007951539,-0.24643045213171377,0.4975994018189578,-0.1488947566530309,0.1488947566530309,
5.34,0.15271086041107995,-0.4907876009286195,-0.2414544581135242,0.5132796591444843,-0.14386900269465944,0.14386900269465944,
5.3500000000000005,0.14780298440179376,-0.5069843817394789,-0.23632166152207937,0.5284914591913817,-0.13868487813730015,0.13868487813730015,
5.36,0.14273314058439898,-0.5227206751188535,-0.23103674693016554,0.5432180019994106,-0.1333471143994672,0.1333471143994672,
5.37,0.13750593383321044,-0.5379791948213715,-0.22560456691017144,0.5574429009598203,-0.12786061257927314,0.12786061257927314,
5.38,0.13212614188499672,-0.5527430568734233,-0.22003013790057324,0.5711502028584439,-0.12223043927957897,0.12223043927957897,
5.39,0.1265987113162625,-0.5669957999219254,-0.2143186358719888,0.5843244077885461,-0.11646182223070867,0.11646182223070867,
5.4,0.12092875331704324,-0.5807214054848135,-0.20847539179410332,0.596950488890689,-0.11056014571204434,0.11056014571204434,
5.41,0.11512153926219511,-0.5939043180617517,-0.20250588690519644,0.609013911874615,-0.1045309457742484,0.1045309457742484,
5.42,0.1091824960815776,-0.6065294650611791,-0.1964157477864503,0.6205006542761163,-0.09837990526431478,0.09837990526431478,
5.43,0.10311720143096581,-0.6185822764974793,-0.19021074124368914,0.6313972244000915,-0.09211284865612604,0.09211284865612604,
5.44,0.09693137866599101,-0.6300487044100472,-0.18389676899968824,0.6416906798995003,-0.08573573668968512,0.08573573668968512,
5.45,0.09063089162189054,-0.6409152419543717,-0.17747986220069323,0.6513686459387518,-0.07925466082270016,0.07925466082270016,
5.46,0.08422173920234682,-0.6511689421136598,-0.1709661757413057,0.6604193328891983,-0.07267583749871875,0.07267583749871875,
5.47,0.07771004978121022,-0.6607974359785574,-0.16436198241241373,0.6688315535038996,-0.06600560223653787,0.06600560223653787,
5.48,0.07110207542142465,-0.6697889505416043,-0.15767366687737475,0.6765947395186575,-0.059250403546148495,0.059250403546148495,
5.49,0.0644041859160086,-0.6781323259526808,-0.15090771948218817,0.6836989576265313,-0.05241679667701005,0.05241679667701005,
5.5,0.057622862656481796,-0.6858170321815854,-0.14407072990592287,0.6901349247736248,-0.0455114372049821,0.0455114372049821,
5.51,0.05076469233466594,-0.6928331850341901,-0.13716938065818662,0.6958940227248961,-0.03854107446476848,0.03854107446476848,
5.5200000000000005,0.04383636048432404,-0.6991715614693343,-0.13021044043093766,0.7009683118500808,-0.03151254483524704,0.03151254483524704,
5.53,0.0368446448696307,-0.7048236141646079,-0.12320075731243685,0.7053505440815341,-0.024432764885561217,0.024432764885561217,
5.54,0.029796408727984617,-0.7097814852806937,-0.1161472518716215,0.7090341749978832,-0.017308724390337718,0.017308724390337718,
5.55,0.02269859387517768,-0.7140380193757183,-0.10905691012164268,0.7120133749898272,-0.010147479222859093,0.010147479222859093,
5.5600000000000005,0.015558213681420498,-0.7175867754233034,-0.1019367763717444,0.7142830394672087,-0.002956144135461844,0.002956144135461844,
5.57,0.008382345927187463,-0.7204220378905574,-0.09479394597707232,0.7158387980696056,0.004258114563156959,-0.004258114563156959,
5.58,0.0011781255482818899,-0.7225388268351762,-0.08763555799637626,0.7166770228461116,0.011488086423659977,-0.011488086423659977,
5.59,-0.006047262720069873,-0.7239329069840583,-0.08046878776791515,0.7167948353736862,0.018726524354405708,-0.018726524354405708,
5.6000000000000005,-0.013286591789910457,-0.7246007957594064,-0.07330083941417828,0.7161901127874172,0.025966152191679942,-0.025966152191679942,
5.61,-0.020532599747504522,-0.7245397702221185,-0.06613893828630411,0.7148614927002284,0.03319967233083285,-0.03319967233083285,
5.62,-0.027777997449725707,-0.7237478729063587,-0.05899032335930183,0.7128083769939455,0.04041977340710516,-0.04041977340710516,
5.63,-0.03501547617878929,-0.7222239165235219,-0.051862239589362376,0.7100309344681743,0.047619138014744,-0.047619138014744,
5.64,-0.04223771534402451,-0.7199674875182789,-0.044761930244680635,0.7065301023381001,0.05479045045287256,-0.05479045045287256,
5.65,-0.0494373902192073,-0.7169789484640814,-0.037696629221299634,0.7023075865770612,0.061926404486487376,-0.061926404486487376,
5.66,-0.05660717970384812,-0.7132594392902352,-0.030673553355529022,0.6973658611045305,0.06901971111091569,-0.06901971111091569,
5.67,-0.06373977409675047,-0.7088108773374967,-0.023699894744483717,0.6917081658249234,0.07606310630807145,-0.07606310630807145,
5.68,-0.07082788287012544,-0.7036359562440432,-0.016782813086234482,0.6853385035273962,0.08304935878290318,-0.08304935878290318,
5.69,-0.07786424243256587,-0.6977381436684896,-0.00992942805096052,0.6782616356614647,0.08997127766852989,-0.08997127766852989,
5.7,-0.08484162386925077,-0.6911216778614782,-0.0031468116943458727,0.6704830770078225,0.09682172018871067,-0.09682172018871067,
5.71,-0.09175284064786556,-0.6837915631020559,0.0035580190757323526,0.662009089268126,0.10359359926648969,-0.10359359926648969,
5.72,-0.09859075627888611,-0.6757535640196973,0.010178109968413613,0.6528466736017079,0.11027989106809775,-0.11027989106809775,
5.73,-0.10534829191908308,-0.6670141988271812,0.01670657670443069,0.6430035621411492,0.116873642471475,-0.116873642471475,
5.74,-0.1120184339073549,-0.6575807314938207,0.023136612325842184,0.6324882085223353,0.12336797844910061,-0.12336797844910061,
5.75,-0.1185942412222931,-0.6474611628924666,0.029461494411065537,0.6213097774680363,0.1297561093551762,-0.1297561093551762,
5.76,-0.12506885285121777,-0.6366642209574226,0.0356745921857459,0.6094781334671291,0.13603133810760337,-0.13603133810760337,
5.7700000000000005,-0.131435495060792,-0.6251993498937873,0.041769373520417194,0.5970038285943281,0.14218706725562136,-0.14218706725562136,
5.78,-0.13768748855972987,-0.6130766984818243,0.047739411806360474,0.5838980895176558,0.1482168059244241,-0.1482168059244241,
5.79,-0.1438182555445481,-0.6003071075226121,0.05357839270153703,0.5701728037428792,0.15411417662855242,-0.15411417662855242,
5.8,-0.14982132661977424,-0.5869020964735635,0.059280120738965825,0.5558405051457267,0.1598729219463555,-0.1598729219463555,
5.8100000000000005,-0.15569034758450986,-0.5728738493243734,0.0648385257904231,0.5409143588438836,0.16548691104832733,-0.16548691104832733,
5.82,-0.1614190860777536,-0.5582351997653942,0.07024766937886193,0.5254081454615348,0.17095014607265055,-0.17095014607265055,
5.83,-0.16700143807540754,-0.5429996157015566,0.07550175083347728,0.5093362448395793,0.17625676834181206,-0.17625676834181206,
5.84,-0.1724314342324231,-0.5271811831657021,0.08059511328187308,0.49271361924458407,0.1814010644146918,-0.1814010644146918,
5.8500000000000005,-0.1777032460640801,-0.5107945896853149,0.08552224947431891,0.4755557961290798,0.18637747196906213,-0.18637747196906213,
5.86,-0.18281119196093326,-0.4938551071566108,0.0902778074356097,0.45787885049494115,0.1911805855099658,-0.1911805855099658,
5.87,-0.18774974303249936,-0.47637857427928954,0.09485659594055912,0.439699386910351,0.19580516189996472,-0.19580516189996472,
5.88,-0.19251352877529226,-0.45838137860426803,0.09925358980966263,0.4210345212292361,0.20024612570775926,-0.20024612570775926,
5.89,-0.19709734256133493,-0.4398804382453761,0.103463935021955,0.4019018620601068,0.20449857437217456,-0.20449857437217456,
5.9,-0.2014961469437887,-0.42089318330429093,0.10748295364255607,0.38231949202895066,0.20855778317898163,-0.20855778317898163,
5.91,-0.2057050787768316,-0.40143753705583385,0.11130614856284558,0.3623059488782553,0.21241921004847403,-0.21241921004847403,
5.92,-0.20971945414738996,-0.38153189693841316,0.11492920805162814,0.3418802064413851,0.2160785001321444,-0.2160785001321444,
5.93,-0.2135347731167741,-0.36119511539167537,0.11834801011604199,0.32106165552845223,0.21953149021720242,-0.21953149021720242,
5.94,-0.21714672427069084,-0.34044648058041277,0.12155862667132651,0.299870084756527,0.22277421293803978,-0.22277421293803978,
5.95,-0.22055118907649496,-0.31930569704068185,0.12455732751889179,0.2783256613535658,0.22580290079408072,-0.22580290079408072,
5.96,-0.22374424604690177,-0.29779286628060664,0.12734058413242744,0.25644891196182795,0.2286139899737517,-0.2286139899737517,
5.97,-0.22672217470970785,-0.27592846736472443,0.12990507325204573,0.23426070346284197,0.2312041239845662,-0.2312041239845662,
5.98,-0.2294814593833551,-0.2537333375071662,0.13224768028667414,0.2117822238422052,0.23357015708954088,-0.23357015708954088,
5.99,-0.23201879275842677,-0.23122865269502882,0.1343655025250962,0.18903496310869058,0.23570915755034716,-0.23570915755034716,
6,-0.23433107928537705,-0.2084359083595,0.1362558521561831,0.1660406942783319,0.23761841067774495,-0.23761841067774495,
6.01,-0.23641543836897205,-0.1853769001084049,0.13791625909896643,0.14282145443039415,0.2392954216899561,-0.2392954216899561,
6.0200000000000005,-0.2382692073700561,-0.1620737045299699,0.13934447364327038,0.11939952583845041,0.2407379183797031,-0.2407379183797031,
6.03,-0.2398899444153558,-0.13854866007380948,0.1405384689016549,0.09579741717620875,0.24194385359067144,-0.24194385359067144,
6.04,-0.2412754310160939,-0.11482434801134328,0.14149644307341697,0.07203784479430013,0.24291140750415113,-0.24291140750415113,
6.05,-0.24242367449620733,-0.09092357347430162,0.14221682152135998,0.048143714060980544,0.24363898973657358,-0.24363898973657358,
6.0600000000000005,-0.24333291023095036,-0.06686934656652255,0.14269825866196978,0.024138100756648226,0.24412524124858948,-0.24412524124858948,
6.07,-0.24400160369661558,-0.04268486354092059,0.14293963966953627,0.000044232509258404495,0.24436903606623164,-0.24436903606623164,
6.08,-0.2444284523320248,-0.018393488030516998,0.14294008199462885,-0.024114529744839547,0.24436948281457516,-0.24436948281457516,
6.09,-0.24461238721232995,0.005981267680439901,0.14269893669718045,-0.04831471029239116,0.24412592606415226,-0.24412592606415226,
6.1000000000000005,-0.24455257453552554,0.030415761361718405,0.14221578959425654,-0.07253273718676681,0.24363794749019912,-0.24363794749019912,
6.11,-0.24424841692190835,0.05488623953748463,0.14149046222238887,-0.09674496082488729,0.24290536684461275,-0.24290536684461275,
6.12,-0.2436995545265335,0.07936885620241939,0.14052301261414,-0.12092767258019597,0.2419282427402814,-0.2419282427402814,
6.13,-0.2429058659645093,0.103839691575844,0.13931373588833804,-0.14505712351526698,0.24070687324722143,-0.24070687324722143,
6.140000000000001,-0.24186746904875087,0.12827477091732117,0.13786316465318538,-0.16910954319820715,0.23924179629971723,-0.23924179629971723,
6.15,-0.24058472133957765,0.1526500834280749,0.1361720692212033,-0.19306115864720017,0.23753378991341534,-0.23753378991341534,
6.16,-0.2390582205052969,0.17694160126301778,0.1342414576347313,-0.21688821342734607,0.23558387221107863,-0.23558387221107863,
6.17,-0.23728880449266673,0.20112529867840603,0.13207257550045784,-0.24056698692336811,0.23339330125546243,-0.23339330125546243,
6.18,-0.23527755150588267,0.22517717133966525,0.12966690563122416,-0.26407381381078915,0.2309635746875364,-0.2309635746875364,
6.19,-0.233025779792486,0.2490732558134023,0.12702616749311627,-0.28738510374682613,0.22829642916804743,-0.22829642916804743,
6.2,-0.23053504723435198,0.27278964926645954,0.124152316455648,-0.31047736130051995,0.22539383962020448,-0.22539383962020448,
